eDNA-2022-01,23781184
eDNA-2022-02,24053336
eDNA-2022-03,25344516
eDNA-2022-04,22948103
eDNA-2022-05,33211856
eDNA-2022-06,26498544
eDNA-2022-07,20764932
eDNA-2022-08,24697863
eDNA-2022-09,20378602
eDNA-2022-100,28960549
eDNA-2022-101,15068193
eDNA-2022-102,18981336
eDNA-2022-103,15955630
eDNA-2022-104,17079182
eDNA-2022-105,31521070
eDNA-2022-106,27576832
eDNA-2022-107,18967695
eDNA-2022-108,14805093
eDNA-2022-109,27800859
eDNA-2022-10,25478701
eDNA-2022-110,28252260
eDNA-2022-111,16358093
eDNA-2022-112,17816146
eDNA-2022-113,23065779
eDNA-2022-114,27005133
eDNA-2022-115,26435162
eDNA-2022-116,19486217
eDNA-2022-117,24923836
eDNA-2022-118,20795757
eDNA-2022-119,27607894
eDNA-2022-11,20680155
eDNA-2022-120,14965836
eDNA-2022-121,18171679
eDNA-2022-122,25059454
eDNA-2022-123,31117848
eDNA-2022-124,29362875
eDNA-2022-125,30313096
eDNA-2022-126,15017301
eDNA-2022-127,22595394
eDNA-2022-128,27190927
eDNA-2022-129,17896833
eDNA-2022-12,26533062
eDNA-2022-130,22991729
eDNA-2022-131,27068934
eDNA-2022-133,42105296
eDNA-2022-134,16045935
eDNA-2022-135,22260029
eDNA-2022-136,23363381
eDNA-2022-137,21743452
eDNA-2022-138,15671969
eDNA-2022-139,13834670
eDNA-2022-13,17219255
eDNA-2022-140,19739992
eDNA-2022-141,24911896
eDNA-2022-142,20619870
eDNA-2022-143,18799087
eDNA-2022-144,18541225
eDNA-2022-145,15941939
eDNA-2022-146,19602971
eDNA-2022-147,16228948
eDNA-2022-148,33296719
eDNA-2022-14,23703741
eDNA-2022-150,16955731
eDNA-2022-151,18872042
eDNA-2022-152,106813
eDNA-2022-153,21245452
eDNA-2022-154,19908662
eDNA-2022-155,16153255
eDNA-2022-156,22986396
eDNA-2022-157,22950392
eDNA-2022-158,17844041
eDNA-2022-159,18112285
eDNA-2022-160,126245
eDNA-2022-161,152846
eDNA-2022-162,17259232
eDNA-2022-163,22153753
eDNA-2022-164,20061994
eDNA-2022-165,26654301
eDNA-2022-166,21319516
eDNA-2022-167,23378703
eDNA-2022-168,81580
eDNA-2022-169,29359160
eDNA-2022-170,22086428
eDNA-2022-171,23655145
eDNA-2022-172,20391653
eDNA-2022-173,25319038
eDNA-2022-174,25770152
eDNA-2022-175,19514012
eDNA-2022-176,93090
eDNA-2022-177,152041
eDNA-2022-178,16885130
eDNA-2022-179,26764485
eDNA-2022-180,130637
eDNA-2022-181,18535082
eDNA-2022-182,22099544
eDNA-2022-184,25887366
eDNA-2022-185,126255
eDNA-2022-186,116511
eDNA-2022-187,17420898
eDNA-2022-188,15172476
eDNA-2022-189,17365069
eDNA-2022-190,21125234
eDNA-2022-191,129096
eDNA-2022-192,17918372
eDNA-2022-193,96622
eDNA-2022-194,21384986
eDNA-2022-195,24601181
eDNA-2022-196,17360982
eDNA-2022-197,60469
eDNA-2022-198,128733
eDNA-2022-199,90259
eDNA-2022-200,28512906
eDNA-2022-201,64844
eDNA-2022-202,16722668
eDNA-2022-203,14285325
eDNA-2022-204,121397
eDNA-2022-205,25017032
eDNA-2022-206,13474183
eDNA-2022-207,15942163
eDNA-2022-208,112844
eDNA-2022-210,128898
eDNA-2022-211,170209
eDNA-2022-212,18563367
eDNA-2022-213,18030314
eDNA-2022-214,86769
eDNA-2022-215,106373
eDNA-2022-216,120490
eDNA-2022-217,102304
eDNA-2022-218,92718
eDNA-2022-219,146588
eDNA-2022-220,108570
eDNA-2022-221,22367890
eDNA-2022-222,20123624
eDNA-2022-223,16042129
eDNA-2022-224,17959397
eDNA-2022-225,138623
eDNA-2022-226,113392
eDNA-2022-227,98308
eDNA-2022-228,111473
eDNA-2022-229,79199
eDNA-2022-230,23545494
eDNA-2022-231,131484
eDNA-2022-232,122496
eDNA-2022-233,11615406
eDNA-2022-234,14482481
eDNA-2022-235,8896485
eDNA-2022-236,13444217
eDNA-2022-237,8032697
eDNA-2022-238,10112452
eDNA-2022-239,10123356
eDNA-2022-240,12168268
eDNA-2022-241,12789962
eDNA-2022-242,9184458
eDNA-2022-243,13534517
eDNA-2022-244,10604394
eDNA-2022-245,19031784
eDNA-2022-246,13625024
eDNA-2022-247,13420966
eDNA-2022-248,12383028
eDNA-2022-249,20984660
eDNA-2022-250,12571375
eDNA-2022-251,12660559
eDNA-2022-252,15586841
eDNA-2022-253,15833939
eDNA-2022-254,11481853
eDNA-2022-255,11940361
eDNA-2022-256,16127036
eDNA-2022-257,13603226
eDNA-2022-258,14502264
eDNA-2022-259,10529344
eDNA-2022-260,12560331
eDNA-2022-261,8806091
eDNA-2022-262,17312011
eDNA-2022-263,17759591
eDNA-2022-264,15325978
eDNA-2022-265,11224801
eDNA-2022-266,13794960
eDNA-2022-267,12881305
eDNA-2022-268,14644668
eDNA-2022-269,11332739
eDNA-2022-270,13315619
eDNA-2022-271,13422460
eDNA-2022-272,11644122
eDNA-2022-273,14107039
eDNA-2022-274,12493005
eDNA-2022-275,14259760
eDNA-2022-276,9825921
eDNA-2022-277,10608037
eDNA-2022-278,10931126
eDNA-2022-279,11690724
eDNA-2022-280,8490610
eDNA-2022-281,11037353
eDNA-2022-282,12292938
eDNA-2022-283,17802070
eDNA-2022-284,11215481
eDNA-2022-285,10764776
eDNA-2022-286,12503178
eDNA-2022-287,10605847
eDNA-2022-288,11854128
eDNA-2022-289,15098388
eDNA-2022-290,13228422
eDNA-2022-291,14581476
eDNA-2022-292,16886060
eDNA-2022-293,16625367
eDNA-2022-294,14259312
eDNA-2022-295,13277469
eDNA-2022-296,5809473
eDNA-2022-297,18569622
eDNA-2022-298,12047303
eDNA-2022-299,15005898
eDNA-2022-300,19655348
eDNA-2022-301,14475181
eDNA-2022-302,12143986
eDNA-2022-303,13126641
eDNA-2022-304,11895834
eDNA-2022-305,11585331
eDNA-2022-306,15319785
eDNA-2022-307,14160903
eDNA-2022-308,17288544
eDNA-2022-309,17723364
eDNA-2022-310,11710673
eDNA-2022-311,17428039
eDNA-2022-312,14738081
eDNA-2022-313,5906665
